date,maximum,minimum,average
2017-01-01,0.006,0.001,0.002
2017-01-02,0.006,0.001,0.002
2017-01-03,0.196,0.001,0.015
2017-01-04,0.007,0.001,0.003
2017-01-05,0.006,0.001,0.003
2017-01-06,0.006,0.001,0.003
2017-01-07,0.006,0.001,0.003
2017-01-08,0.013,0.001,0.004
2017-01-09,0.061,0.001,0.006
2017-01-10,0.046,0.001,0.008
2017-01-11,0.091,0.001,0.009
2017-01-12,0.010,0.001,0.003
2017-01-13,0.009,0.001,0.003
2017-01-14,0.006,0.001,0.003
2017-01-15,0.006,0.001,0.002
2017-01-16,0.038,0.001,0.005
2017-01-17,0.055,0.001,0.006
2017-01-18,0.012,0.001,0.003
2017-01-19,0.026,0.001,0.004
2017-01-20,0.306,0.001,0.021
2017-01-21,0.015,0.001,0.003
2017-01-22,0.007,0.001,0.003
2017-01-23,0.007,0.001,0.003
2017-01-24,0.008,0.001,0.003
2017-01-25,0.008,0.001,0.003
2017-01-26,0.019,0.001,0.004
2017-01-27,0.042,0.001,0.005
2017-01-28,0.026,0.001,0.004
2017-01-29,0.009,0.001,0.003
2017-01-30,0.010,0.001,0.003
2017-01-31,0.058,0.001,0.007
2017-02-01,0.047,0.001,0.008
2017-02-02,0.076,0.001,0.007
2017-02-03,0.049,0.001,0.005
2017-02-04,0.010,0.001,0.003
2017-02-05,0.057,0.001,0.007
2017-02-06,0.010,0.001,0.003
2017-02-07,0.010,0.001,0.003
2017-02-08,0.218,0.001,0.016
2017-02-09,0.397,0.001,0.028
2017-02-10,0.144,0.001,0.012
2017-02-11,0.977,0.001,0.064
2017-02-12,0.478,0.001,0.034
2017-02-13,0.371,0.001,0.026
2017-02-14,0.231,0.001,0.017
2017-02-15,0.182,0.001,0.018
2017-02-16,0.587,0.001,0.048
2017-02-17,0.118,0.001,0.012
2017-02-18,0.100,0.002,0.008
2017-02-19,0.195,0.001,0.014
2017-02-20,0.120,0.001,0.010
2017-02-21,0.145,0.001,0.012
